model,pattern,wmi,make
6-SERIES GRAN COUPE,['^6A0C5.*$'],WBA,BMW
620D,['^JY810.*$'],WBA,BMW
630 I,['^E.*310$'],WBA,BMW
630D XDRIVE LUXURY WLTP,['^JW810.*$'],WBA,BMW
635 CSI,"['^52490.*$', '^EC890.*$']",WBA,BMW
M6,"['^EE.*0$', '^EE140.*$']",WBA,BMW
640 I,['^6A010.*$'],WBA,BMW
640D XDRIVE GRANCOUPE,['^6E410.*$'],WBA,BMW
645,"['^EH710.*$', '^E.*710$']",WBA,BMW
645CI,['^EK734.*$'],WBA,BMW
650 I,['^EH13.*$'],WBA,BMW
740-E,"['^7J2C.*$', '^7E2C.*$', '^7J2C5.*$']",WBA,BMW
7-SERIES,"['^7F0C.*$', '^KB8.*5$', '^GN63.*$', '^7D010.*$', '^7J2C.*$', '^GN634.*$', '^7E2C.*$', '^GL63.*$', '^G.*634$', '^KA8.*5$']",WBA,BMW
730 LI,"['^.*210$', '^HN210.*$']",WBA,BMW
730D,['^YC210.*$'],WBA,BMW
733,['^FF330.*$'],WBA,BMW
735,['^G.*410$'],WBA,BMW
740 LI,"['^KB4.*$', '^7E210.*$', '^YE41.*$']",WBA,BMW
740LEX,"['^7J2.*$', '^7J210.*$', '^7J.*$']",WBA,BMW
745 E,['^7D610.*$'],WBA,BMW
745LEX,"['^7W410.*$', '^7W4.*0$']",WBA,BMW
750LI,"['^GK2.*$', '^KC8.*$', '^HN8.*$', '^YE8.*$', '^KB81.*$', '^HL8.*$', '^GC8.*$']",WBA,BMW
750 I,['^HL8.*$'],WBA,BMW
840,['^EF610.*$'],WBA,BMW
840I XDRIVE GRAN COUPE,['^GV410.*$'],WBA,BMW
850,['^EG.*10$'],WBA,BMW
745LI,['^GN610.*$'],WBA,BMW
BMW 428I COUPE,['^3N710.*$'],WBA,BMW
BMW 520D LUXURY,['^JF310.*$'],WBA,BMW
BMW X4 XDRIVE20D,['^XX110.*$'],WBA,BMW
X5 40EX,['^KT010.*$'],WBA,BMW
I 125,['^UC310.*$'],WBA,BMW
L7,['^GK610.*$'],WBA,BMW
M 850I,['^BC4A0.*$'],WBA,BMW
M135I XDRIVE,['^7L110.*$'],WBA,BMW
M235I,['^1J710.*$'],WBA,BMW
M5,['^DC210.*$'],WBA,BMW
M850IX,['^FY4A0.*$'],WBA,BMW
518L,['^DK110.*$'],WBA,BMW
T20I,['^UL520.*$'],WBA,BMW
X1 XDRIVE20D,['^JJ110.*$'],WBA,BMW
X1 XDRIVE20I,['^11DG0.*$'],WBA,BMW
X2,['^YH3A0.*$'],WBA,BMW
X4 XDRIVE20D,['^31CA0.*$'],WBA,BMW
X4 XDRIVE20D XLINE,['^VJ110.*$'],WBA,BMW
X4 XDRIVE20I,['^21DT0.*$'],WBA,BMW
X6 XDRIVE 30D,['^KV210.*$'],WBA,BMW
X6,"['^KU210.*$', '^FG810.*$']",WBA,BMW
Z 3,"['^CK510.*$', '^CH710.*$']",WBA,BMW
Z4,"['^LL5.*$', '^LM7.*$', '^HF3.*$', '^LM5.*5$']",WBA,BMW
Z8,['^EJ1.*$'],WBA,BMW
Z8 MPOWER,['^EJ110.*$'],WBA,BMW
--,['^1M110.*$'],WBS,BMW
1-SERIES,['^UR9C5.*$'],WBS,BMW
520I,['^HB510.*$'],WBS,BMW
M5,"['^.*10$', '^NB9.*$', '^FV9.*$', '^6C910.*$', '^DE9.*$', '^.*0$', '^JF0.*$']",WBS,BMW
M-COUPE,['^UR910.*$'],WBS,BMW
M2,"['^1H9.*$', '^2U7C.*$']",WBS,BMW
M2 COMPETITION PACKAGE,['^2U710.*$'],WBS,BMW
M3,"['^KG9.*$', '^AK03.*$', '^BG93.*$', '^PM9.*$', '^DX9.*$', '^WD9.*$', '^BR9.*$', '^BF9.*$', '^8M9.*$', '^BL9.*$', '^3C9.*$']",WBS,BMW
M4,"['^3U9.*$', '^3R9.*$', '^3R910.*$']",WBS,BMW
M4 COMPETITION M XDRIVE,['^41AZ0.*$'],WBS,BMW
M4 CS,['^3S710.*$'],WBS,BMW
M6,"['^LZ9.*$', '^LX9.*$', '^EH9.*$']",WBS,BMW
M8,['^.*0C0$'],WBS,BMW
M8 GRAN COUPE,['^GV0C0.*$'],WBS,BMW
X4 M,['^UJ010.*$'],WBS,BMW
X6,['^GZ010.*$'],WBS,BMW
Z3 M,['^CM910.*$'],WBS,BMW
Z4 M,['^DU910.*$'],WBS,BMW
I3,"['^1Z6C.*$', '^1Z8C.*$', '^7Z2.*$', '^1Z4C5.*$', '^8P4C.*$', '^1Z2.*$', '^1Z210.*$']",WBY,BMW
F800GS,['^1Z410.*$'],WBY,BMW
I3 120AH SOL PLUS,['^8P210.*$'],WBY,BMW
I4,['^33AW.*$'],WBY,BMW
I4 EDRIVE40,['^71AW0.*$'],WBY,BMW
I8,"['^2Z2.*$', '^2Z6.*$']",WBY,BMW
I8 HYBRID,['^2Z210.*$'],WBY,BMW
IX,['^11CF0.*$'],WBY,BMW
IX3 M SPORT,['^41DU0.*$'],WBY,BMW
2644,['^AHDAA.*$'],WD3,Mercedes
3340,['^9HDAA.*$'],WD3,Mercedes
3354,['^MHDAB.*$'],WD3,Mercedes
3848,['^9HDAB.*$'],WD3,Mercedes
ACTROS,['^9HPAD.*$'],WD3,Mercedes
BENZ,['^YE1B7.*$'],WD3,Mercedes
CDI 208,['^YB047.*$'],WD3,Mercedes
CDI 416,['^YB548.*$'],WD3,Mercedes
METRIS,['^PG2EA.*$'],WD3,Mercedes
SPRINTER,"['^YE4.*$', '^YF4.*$']",WD3,Mercedes
SPRINTER 316,['^YE5B7.*$'],WD3,Mercedes
VITO,['^YA581.*$'],WD3,Mercedes
CDI 311,['^WB247.*$'],WD4,Mercedes
METRIS,['^PG2EE.*$'],WD4,Mercedes
VIANO,"['^WA6.*$', '^WA5.*$', '^W.*$']",WD4,Mercedes
2040,['^CHDAA.*$'],WDA,Mercedes
318IA,['^AL310.*$'],WDA,Mercedes
M3,['^BF210.*$'],WDA,Mercedes
3335,['^KHAAA.*$'],WDA,Mercedes
3340,['^9HDAA.*$'],WDA,Mercedes
ACTROS,"['^KHCA.*$', '^NHBAA.*$', '^KHCAA.*$']",WDA,Mercedes
3848,['^9HDAB.*$'],WDA,Mercedes
4144,['^NHAAA.*$'],WDA,Mercedes
ACTROSS 2632,['^THCAA.*$'],WDA,Mercedes
SPRINTER,['^PF4C.*$'],WDA,Mercedes
X6,['^FG810.*$'],WDA,Mercedes
1018L,['^97004.*$'],WDB,Mercedes
1113,['^35801.*$'],WDB,Mercedes
SE 300,['^12602.*$'],WDB,Mercedes
ATEGO,"['^9702.*$', '^970.*$', '^9670.*$', '^97025.*$']",WDB,Mercedes
E 280,"['^1.*$', '^2083.*$', '^1240.*$', '^12402.*$', '^12.*$', '^123.*2$']",WDB,Mercedes
1317,['^67623.*$'],WDB,Mercedes
1625,['^617.*3$'],WDB,Mercedes
1722,"['^652.*3$', '^65233.*$']",WDB,Mercedes
2635,"['^655.*$', '^6.*$', '^659.*3$', '^65903.*$', '^659.*$', '^658.*$', '^6555.*$', '^65.*$']",WDB,Mercedes
1838,['^655.*$'],WDB,Mercedes
ACTROS,"['^953.*$', '^903.*1$', '^930.*$', '^963.*2$', '^96423.*$', '^934.*$', '^963.*$', '^906.*$', '^933.*$', '^964.*$', '^904.*6$', '^9540.*$', '^954.*$', '^96342.*$', '^96340.*$', '^932.*$', '^95053.*$', '^9.*16$', '^952.*$', '^9.*$', '^93.*$', '^950.*$']",WDB,Mercedes
C180,['^20201.*$'],WDB,Mercedes
1820,['^65202.*$'],WDB,Mercedes
1824,['^652.*0$'],WDB,Mercedes
1827,['^652.*5$'],WDB,Mercedes
1828,['^95050.*$'],WDB,Mercedes
1844,"['^65549.*$', '^93403.*$', '^655.*$', '^9340.*$']",WDB,Mercedes
1835,['^65400.*$'],WDB,Mercedes
1836 L/NR,['^93004.*$'],WDB,Mercedes
1844 L,['^93003.*$'],WDB,Mercedes
1840,"['^655.*$', '^652.*$', '^9540.*$', '^9.*403$', '^954.*$', '^95.*$', '^95403.*$']",WDB,Mercedes
1748,['^65559.*$'],WDB,Mercedes
1850LS,['^65752.*$'],WDB,Mercedes
190 E,['^2010.*$'],WDB,Mercedes
190E,['^20103.*$'],WDB,Mercedes
1924,['^34600.*$'],WDB,Mercedes
1931,['^65500.*$'],WDB,Mercedes
1948,['^65519.*$'],WDB,Mercedes
CLK 230,"['^20834.*$', '^TJ4.*H$', '^208.*4$']",WDB,Mercedes
200/123,['^12322.*$'],WDB,Mercedes
2031,['^656.*$'],WDB,Mercedes
2034,['^65514.*$'],WDB,Mercedes
2040,['^93401.*$'],WDB,Mercedes
SPRINTER,"['^90661.*$', '^906.*1$', '^90663.*$']",WDB,Mercedes
2228,['^62303.*$'],WDB,Mercedes
2233,['^62347.*$'],WDB,Mercedes
E200K,"['^UF5.*X$', '^208.*$', '^1400.*$', '^208.*4$', '^203.*$', '^.*4$', '^211.*$', '^2102.*$', '^1240.*$', '^124.*$', '^2110.*$', '^UF7.*$', '^JF65.*$', '^124.*3$', '^1260.*$', '^210.*$', '^2.*$', '^220.*6$']",WDB,Mercedes
E200,['^21003.*$'],WDB,Mercedes
240D,['^AB23A.*$'],WDB,Mercedes
2435,"['^658.*$', '^6554.*$']",WDB,Mercedes
250 C,['^RN5CB.*$'],WDB,Mercedes
2524,['^65342.*$'],WDB,Mercedes
2527,['^65307.*$'],WDB,Mercedes
2534,['^65346.*$'],WDB,Mercedes
2535,['^65604.*$'],WDB,Mercedes
2540,['^95020.*$'],WDB,Mercedes
"ACTROS, ANTOS","['^9630.*$', '^96302.*$']",WDB,Mercedes
2541,['^93020.*$'],WDB,Mercedes
ACTROS 2546LS LD HRS,['^93423.*$'],WDB,Mercedes
2624,"['^34303.*$', '^3430.*$']",WDB,Mercedes
2631,['^659.*0$'],WDB,Mercedes
2653 LS,['^93424.*$'],WDB,Mercedes
2643,['^954.*4$'],WDB,Mercedes
2638,"['^65914.*$', '^65508.*$']",WDB,Mercedes
2650,['^65919.*$'],WDB,Mercedes
280 TE AMG,['^12309.*$'],WDB,Mercedes
SL 500,"['^2304.*$', '^10704.*$']",WDB,Mercedes
"3,5 FLATBED / CHASSIS 311 CDI 4X4 / 3,5",['^90623.*$'],WDB,Mercedes
300,"['^CA2.*D$', '^EA5.*$', '^CB2.*$', '^EA3.*$', '^CA25D.*$', '^FA61E.*$']",WDB,Mercedes
300 GE,['^46322.*$'],WDB,Mercedes
MERCEDES,"['^12409.*$', '^12404.*$']",WDB,Mercedes
CE 300,['^12405.*$'],WDB,Mercedes
3234,['^62511.*$'],WDB,Mercedes
ACTROS 3541,"['^93330.*$', '^9.*330$']",WDB,Mercedes
3335,['^95316.*$'],WDB,Mercedes
4031,"['^9.*016$', '^93016.*$']",WDB,Mercedes
3348,['^95216.*$'],WDB,Mercedes
S 320,"['^203.*6$', '^22016.*$', '^651.*$', '^1400.*$', '^22006.*$', '^14003.*$', '^GA33.*$', '^220.*6$']",WDB,Mercedes
3535,['^65509.*$'],WDB,Mercedes
380,['^BA45.*$'],WDB,Mercedes
4040,"['^95016.*$', '^93231.*$']",WDB,Mercedes
3838,['^65601.*$'],WDB,Mercedes
3848,"['^95.*16$', '^95416.*$']",WDB,Mercedes
4143,['^95231.*$'],WDB,Mercedes
420,['^CA35.*$'],WDB,Mercedes
E 55,"['^21007.*$', '^211.*7$', '^210.*7$']",WDB,Mercedes
450 SLC,['^10702.*$'],WDB,Mercedes
SEL 560,"['^CA39.*$', '^CA45.*$', '^1260.*$', '^12603.*$']",WDB,Mercedes
500-CLASS,['^FA66E.*$'],WDB,Mercedes
516,['^906.*5$'],WDB,Mercedes
57,['^VF7.*$'],WDB,Mercedes
S 500,"['^NG8.*J$', '^6251.*$', '^SK7.*F$', '^220.*$', '^2093.*$', '^2211.*$', '^203.*$', '^1400.*$', '^GA51.*$', '^.*7$', '^140.*$']",WDB,Mercedes
62,['^VG79J.*$'],WDB,Mercedes
814,"['^67.*$', '^674.*1$']",WDB,Mercedes
817,['^67606.*$'],WDB,Mercedes
818,['^970.*1$'],WDB,Mercedes
822 L,['^97021.*$'],WDB,Mercedes
A160,['^168.*3$'],WDB,Mercedes
ACTROS 1831,['^95207.*$'],WDB,Mercedes
ACTROS 1846LSNRL LD HRS,['^93406.*$'],WDB,Mercedes
ACTROS 2050,['^9340B.*$'],WDB,Mercedes
ACTROS 3236K,['^93230.*$'],WDB,Mercedes
ACTROS 3331,['^93216.*$'],WDB,Mercedes
CL 500,['^21537.*$'],WDB,Mercedes
ARMORED,['^62433.*$'],WDB,Mercedes
ATEGO 2528L SLP,['^95060.*$'],WDB,Mercedes
ATEGO 815 DAY,['^97002.*$'],WDB,Mercedes
C 200,"['^RN4.*H$', '^20304.*$', '^2020.*$', '^RF52.*$', '^203.*$', '^RN4.*J$', '^20.*$', '^203.*4$', '^HA2.*G$']",WDB,Mercedes
C 180,['^2037.*$'],WDB,Mercedes
C 43,['^HA33G.*$'],WDB,Mercedes
C 43 AMG,['^HA33E.*$'],WDB,Mercedes
C-CLASS,"['^RF40J.*$', '^RF4.*$', '^RN4.*J$', '^RF5.*$', '^HA2.*$', '^RF92.*$', '^RF6.*J$', '^RF61J.*$']",WDB,Mercedes
C 230,['^20374.*$'],WDB,Mercedes
CDI 313,['^90366.*$'],WDB,Mercedes
CE 280,['^12305.*$'],WDB,Mercedes
CL-CLASS,['^PJ7.*J$'],WDB,Mercedes
CLC 180,['^RN4GB.*$'],WDB,Mercedes
CLC 200,['^RN4BB.*$'],WDB,Mercedes
CLC 230,['^RN52H.*$'],WDB,Mercedes
CLK320,"['^20936.*$', '^209.*6$']",WDB,Mercedes
CLK350,['^20945.*$'],WDB,Mercedes
CLK 500,['^209.*7$'],WDB,Mercedes
CLK 55 AMG,['^20937.*$'],WDB,Mercedes
CLK-CLASS,"['^TK5.*$', '^TK56.*$', '^TJ7.*$', '^TK7.*$', '^TJ5.*$']",WDB,Mercedes
CLK430,['^LJ70G.*$'],WDB,Mercedes
SEC 560,['^12604.*$'],WDB,Mercedes
D 300,"['^12.*13$', '^12413.*$']",WDB,Mercedes
E 260,['^EA30D.*$'],WDB,Mercedes
E 270,['^21101.*$'],WDB,Mercedes
E500,"['^211.*7$', '^UF7.*$']",WDB,Mercedes
E-CLASS,"['^JF7.*$', '^UF56.*$', '^JF82.*$', '^EA3.*E$', '^UF65J.*$', '^2102.*$', '^UF8.*$', '^UF7.*$', '^JF65.*$']",WDB,Mercedes
E-CLASS WAGON,['^UH56J.*$'],WDB,Mercedes
E240,"['^210.*6$', '^210.*$', '^21.*6$']",WDB,Mercedes
ENGINE,['^96760.*$'],WDB,Mercedes
G 230,['^46021.*$'],WDB,Mercedes
GD 290,['^46131.*$'],WDB,Mercedes
G 500,"['^4632.*$', '^4.*$', '^4271.*$', '^437.*$', '^46323.*$']",WDB,Mercedes
G 63,['^46327.*$'],WDB,Mercedes
G55 COUPE,['^46333.*$'],WDB,Mercedes
GE 280,['^46022.*$'],WDB,Mercedes
CL 600,"['^14007.*$', '^1.*07$']",WDB,Mercedes
LOCOMOTIVE,['^62114.*$'],WDB,Mercedes
LOWBED TRAILER,['^65013.*$'],WDB,Mercedes
MAYBACH,['^240.*7$'],WDB,Mercedes
MOBILE XRAY TRUCK,['^95061.*$'],WDB,Mercedes
R,['^67708.*$'],WDB,Mercedes
S-CLASS,"['^NG7.*J$', '^GA3.*$', '^NF6.*J$', '^GA4.*$']",WDB,Mercedes
S 280,['^14002.*$'],WDB,Mercedes
SEL 450,['^11603.*$'],WDB,Mercedes
SL 350,['^SK5.*F$'],WDB,Mercedes
560,['^BA48D.*$'],WDB,Mercedes
SL 63,['^SK70F.*$'],WDB,Mercedes
SL 600,['^12907.*$'],WDB,Mercedes
SL-CLASS,"['^SK7.*$', '^FA76.*$', '^FA67E.*$', '^FA6.*$']",WDB,Mercedes
SLK,"['^WK5.*$', '^WK56F.*$']",WDB,Mercedes
SLK 200,"['^17144.*$', '^WK4.*F$']",WDB,Mercedes
SLK 300,['^WK5EA.*$'],WDB,Mercedes
SLK230,"['^1704.*$', '^17.*$']",WDB,Mercedes
SLK 55 AMG,['^17147.*$'],WDB,Mercedes
SLK350,['^17145.*$'],WDB,Mercedes
WITH CONCRETE PUMPER,['^97007.*$'],WDB,Mercedes
WITH CRANE,['^6760.*$'],WDB,Mercedes
G 65,['^YC7EF.*$'],WDC,Mercedes
GLA-CLASS,"['^TG4.*B$', '^TG.*B$', '^TG5CB.*$']",WDC,Mercedes
GLC-CLASS,"['^.*B$', '^0J8.*B$', '^0G8.*B$', '^0J4KB.*$', '^0G5EB.*$', '^0G4.*B$', '^OG4.*B$', '^0.*6EB$']",WDC,Mercedes
ML 63,"['^DA7EB.*$', '^BB77E.*$']",WDC,Mercedes
G 63,"['^YR4.*$', '^YC7CF.*$', '^YC7.*$', '^YC3.*$', '^Y.*F$', '^Y.*$']",WDC,Mercedes
C 200,['^25338.*$'],WDC,Mercedes
GLC 220 D 4MATIC COUPE,['^0J0FB.*$'],WDC,Mercedes
GLK 280,['^GG81D.*$'],WDC,Mercedes
M CLASS ML350 BLUETEC,['^DA2EB.*$'],WDC,Mercedes
G 500,['^YC3EF.*$'],WDC,Mercedes
G 55,"['^YC7AF.*$', '^YR7.*$']",WDC,Mercedes
GL 450,['^BF7.*E$'],WDC,Mercedes
GL 500,"['^BF8.*E$', '^.*E$', '^DF7DE.*$', '^DF7.*E$']",WDC,Mercedes
GL 550,['^16488.*$'],WDC,Mercedes
GL 63,['^DF7EE.*$'],WDC,Mercedes
GLA 200 CDI 4MATIC,['^TG0CB.*$'],WDC,Mercedes
GLA 220,['^TG4FB.*$'],WDC,Mercedes
GLA200 D,['^TG0JB.*$'],WDC,Mercedes
GLB-CLASS,['^4M4HB.*$'],WDC,Mercedes
GLC,['^253.*$'],WDC,Mercedes
GLC 250,['^0.*4GB$'],WDC,Mercedes
GLC350E,['^25395.*$'],WDC,Mercedes
GLC220D,['^0.*0FB$'],WDC,Mercedes
GLC350ECOUPE,['^0J5EB.*$'],WDC,Mercedes
GLC43 4MATIC,['^0J6EB.*$'],WDC,Mercedes
GLE 63,['^ED7FB.*$'],WDC,Mercedes
GLE 350D,['^ED2EB.*$'],WDC,Mercedes
GLE 43,['^ED6EB.*$'],WDC,Mercedes
GLE CLASS GLE450,['^FB5KB.*$'],WDC,Mercedes
GLK 250,['^GG3HB.*$'],WDC,Mercedes
GLK 300,['^GG8BB.*$'],WDC,Mercedes
GLK-CLASS,"['^GG5.*B$', '^GG8.*B$', '^GG.*B$']",WDC,Mercedes
GLS 63,['^DF7FE.*$'],WDC,Mercedes
M CLASS ML400 4MATIC,['^DA5GB.*$'],WDC,Mercedes
ML 500,"['^BB7.*$', '^DA7DB.*$', '^1641.*$']",WDC,Mercedes
ML320,"['^16315.*$', '^1631.*$']",WDC,Mercedes
ML 350,['^1660.*$'],WDC,Mercedes
ML 400,['^16312.*$'],WDC,Mercedes
ML55,['^16317.*$'],WDC,Mercedes
ML350,['^BB8.*$'],WDC,Mercedes
MULTIPURPOSE VEHICLE (MPV),['^DF5GE.*$'],WDC,Mercedes
R 280,['^CB54E.*$'],WDC,Mercedes
R 300,['^CB5EE.*$'],WDC,Mercedes
R 350,['^CB6.*E$'],WDC,Mercedes
R KLASA,['^25334.*$'],WDC,Mercedes
R500,['^251.*7$'],WDC,Mercedes
E-CLASS,"['^.*B$', '^UG3CB.*$', '^UG3.*B$', '^HF9.*B$', '^XJ8.*B$', '^HF9HB.*$', '^HF8.*B$', '^1J6.*B$', '^UF3CB.*$', '^ZF4KB.*$', '^KK3.*F$', '^ZF4.*B$', '^1J4.*B$', '^HF7.*B$', '^KJ6.*B$', '^UG7.*B$', '^KJ5.*B$', '^SJ4.*B$', '^KK4.*F$', '^207.*3$', '^HF8HB.*$', '^HF5.*B$', '^WF1.*B$', '^HF6.*B$', '^ZF6.*B$', '^ZF6JB.*$', '^ZF6GB.*$', '^KK7.*F$', '^ZF8.*B$', '^KK6.*F$', '^KJ7.*B$', '^7X5.*B$', '^2130.*$', '^7X8.*B$', '^KK5.*F$', '^1K6.*B$', '^HF7HB.*$', '^KK7DF.*$', '^5J4.*B$', '^HF3.*B$']",WDD,Mercedes-Benz
S-CLASS,"['^NG71X.*$', '^UG8JB.*$', '^NF8.*$', '^NG8.*$', '^UG8CB.*$', '^XJ8.*B$', '^217.*$', '^NG8GB.*$', '^UG6.*B$', '^UG6EB.*$', '^22205.*$', '^UG8FB.*$', '^UG8GB.*$', '^UG6F.*$', '^UG6GB.*$', '^222.*$', '^NG7.*$', '^UG6CB.*$', '^2211.*$', '^UG8.*B$', '^XK8.*B$']",WDD,Mercedes-Benz
C 350,['^20504.*$'],WDD,Mercedes-Benz
E 250,['^207.*3$'],WDD,Mercedes-Benz
212,['^21203.*$'],WDD,Mercedes-Benz
E 200,"['^238.*$', '^20743.*$', '^2130.*$', '^21204.*$', '^21308.*$', '^21304.*$', '^2120.*$', '^2.*$', '^207.*$']",WDD,Mercedes-Benz
E 320,['^KK6CF.*$'],WDD,Mercedes-Benz
S 350,"['^NG5.*$', '^NG5HB.*$']",WDD,Mercedes-Benz
A 250,['^BF4E.*$'],WDD,Mercedes-Benz
A 45,['^BF5CB.*$'],WDD,Mercedes-Benz
A-CLASS,['^3G4.*B$'],WDD,Mercedes-Benz
A200,['^BF4DB.*$'],WDD,Mercedes-Benz
A45S AMG,['^3F5EB.*$'],WDD,Mercedes-Benz
C-CLASS,"['^205.*$', '^UG5HB.*$', '^221.*5$', '^WJ4JB.*$', '^WF4HB.*$', '^22.*$', '^WJ8GB.*$', '^WK4.*B$', '^GF4.*$', '^WF8.*B$', '^WK8.*B$', '^WF4.*B$', '^WJ8.*B$', '^GF5.*$', '^GJ5H.*$', '^WJ6EB.*$', '^WJ8HB.*$', '^GF4HB.*$', '^2040.*$', '^GF8.*$', '^WJ4.*B$', '^20537.*$', '^GF7.*$']",WDD,Mercedes-Benz
AMG GT,['^YJ7.*A$'],WDD,Mercedes-Benz
B 200,"['^FH3.*$', '^FH3DB.*$']",WDD,Mercedes-Benz
B KLASA W246,['^25735.*$'],WDD,Mercedes-Benz
CLA-CLASS,"['^5J4.*B$', '^SJ4.*B$', '^SJ5CB.*$']",WDD,Mercedes-Benz
B-CLASS,"['^SJ4FB.*$', '^VP9AB.*$']",WDD,Mercedes-Benz
BENZ SLR,['^19937.*$'],WDD,Mercedes-Benz
C 200,"['^GF41X.*$', '^20.*04$', '^205.*$', '^GF4.*$', '^2314.*$', '^205.*7$', '^20.*$', '^20404.*$', '^212.*$', '^204.*$', '^2110.*$', '^2.*$', '^20507.*$']",WDD,Mercedes-Benz
C 250,['^20405.*$'],WDD,Mercedes-Benz
CL 500,"['^EJ71X.*$', '^EJ7.*X$', '^EJ7.*$']",WDD,Mercedes-Benz
C KLASA W205,['^20547.*$'],WDD,Mercedes-Benz
C180 COUPE,['^20433.*$'],WDD,Mercedes-Benz
C200,['^WK4CB.*$'],WDD,Mercedes-Benz
C220D,"['^WF0EB.*$', '^WF0.*B$']",WDD,Mercedes-Benz
C220 D AMG LINE AUTO,['^20500.*$'],WDD,Mercedes-Benz
C220D 4 MATIC,['^WF1FB.*$'],WDD,Mercedes-Benz
CLS 500,"['^2193.*$', '^21937.*$']",WDD,Mercedes-Benz
CL 600,['^EJ76X.*$'],WDD,Mercedes-Benz
CL 65,['^EJ79X.*$'],WDD,Mercedes-Benz
CL-CLASS,"['^EJ.*$', '^EJ7.*X$', '^EJ8.*$']",WDD,Mercedes-Benz
CLA 200,['^11734.*$'],WDD,Mercedes-Benz
CLA200 CDI,['^SJ0JB.*$'],WDD,Mercedes-Benz
CLA 45 AMG,['^11735.*$'],WDD,Mercedes-Benz
CL 63 AMG,['^EJ77X.*$'],WDD,Mercedes-Benz
SLK 200,['^PK4JA.*$'],WDD,Mercedes-Benz
CLS 300,['^DJ5EB.*$'],WDD,Mercedes-Benz
CLS 300 D,['^2J1JB.*$'],WDD,Mercedes-Benz
CLS 350,['^DJ5.*$'],WDD,Mercedes-Benz
CLS 400 D 4MATIC,['^2J2DB.*$'],WDD,Mercedes-Benz
CLS CLASS CLS53 AMG,['^2J6BB.*$'],WDD,Mercedes-Benz
CLS-CLASS,"['^LJ7.*B$', '^LJ9.*B$', '^2J5.*B$', '^DJ7.*$', '^2183.*$']",WDD,Mercedes-Benz
CLS250 D 4MATIC,['^LJ9HB.*$'],WDD,Mercedes-Benz
E 63,['^21207.*$'],WDD,Mercedes-Benz
E220D,['^ZF0EB.*$'],WDD,Mercedes-Benz
E220 D 4MATIC,['^ZF0FB.*$'],WDD,Mercedes-Benz
E 300,['^HF5.*B$'],WDD,Mercedes-Benz
E KLASA W212,['^21306.*$'],WDD,Mercedes-Benz
E CLASS E350,['^KJ8JB.*$'],WDD,Mercedes-Benz
E200CABRIOLET,['^23844.*$'],WDD,Mercedes-Benz
E-KLASSE COUPE,['^23834.*$'],WDD,Mercedes-Benz
E200 COUPE,['^KJ3EB.*$'],WDD,Mercedes-Benz
E220 BLUETEC,['^HF0AB.*$'],WDD,Mercedes-Benz
E220 CDI,['^HF0CB.*$'],WDD,Mercedes-Benz
E220D COUPE,['^1J1EB.*$'],WDD,Mercedes-Benz
E350 D,['^ZF3DB.*$'],WDD,Mercedes-Benz
E350E,['^21305.*$'],WDD,Mercedes-Benz
EQC 400 4MATIC,['^8P9AB.*$'],WDD,Mercedes-Benz
GLA-CLASS,['^TG5CB.*$'],WDD,Mercedes-Benz
GT 43 AMG,['^29065.*$'],WDD,Mercedes-Benz
GT C,['^YK8AA.*$'],WDD,Mercedes-Benz
GTR AMG,['^YJ7KA.*$'],WDD,Mercedes-Benz
MAYBACH,"['^2229.*$', '^UX8.*B$', '^UX8GB.*$']",WDD,Mercedes-Benz
S 280,"['^N.*54X$', '^NF54X.*$']",WDD,Mercedes-Benz
S 350 D 4MATIC L,['^UG3DB.*$'],WDD,Mercedes-Benz
S 400,['^21736.*$'],WDD,Mercedes-Benz
S 63 AMG,['^NG7EB.*$'],WDD,Mercedes-Benz
S 65 AMG,['^NG79X.*$'],WDD,Mercedes-Benz
S-CLASS HYBRID,['^NG9FB.*$'],WDD,Mercedes-Benz
S350 D 4MATIC,['^UF3DB.*$'],WDD,Mercedes-Benz
S350 D,['^UF2AB.*$'],WDD,Mercedes-Benz
S350D 4MATIC,['^UF2BB.*$'],WDD,Mercedes-Benz
S500,['^UX8CB.*$'],WDD,Mercedes-Benz
SL 350,['^JK5HA.*$'],WDD,Mercedes-Benz
SL-CLASS,"['^JK7.*A$', '^JK6.*A$']",WDD,Mercedes-Benz
SLC 200,['^PK3EA.*$'],WDD,Mercedes-Benz
SLC AMG SLC 43,['^17246.*$'],WDD,Mercedes-Benz
SLK,"['^PK.*A$', '^PK4HA.*$']",WDD,Mercedes-Benz
SLK200,['^17244.*$'],WDD,Mercedes-Benz
SLR,['^AK76F.*$'],WDD,Mercedes-Benz
SLS AMG,"['^R.*7HA$', '^RJ7HA.*$']",WDD,Mercedes-Benz
SLS GT FINAL EDITION,['^RJ7JA.*$'],WDD,Mercedes-Benz
CITAN,['^41560.*$'],WDF,Mercedes-Benz
VITO,"['^.*60$', '^44760.*$', '^447.*0$', '^639.*$', '^.*0$', '^63960.*$']",WDF,Mercedes-Benz
"V-CLASS, VITO",['^44770.*$'],WDF,Mercedes-Benz
ACTROS,['^96340.*$'],WDF,Mercedes-Benz
VIANO,['^63981.*$'],WDF,Mercedes-Benz
SPRINTER,['^9036.*$'],WDF,Mercedes-Benz
V CLASS,['^44781.*$'],WDF,Mercedes-Benz
